date,theme,source,title,link,summary,score,comment
2026-06-22,AI 関連 日本株,Yahoo!ファイナンス,今週のマーケット：AI株の強気な相場は続騰か、調整か(トウシル) - Yahoo!ファイナンス,https://news.google.com/rss/articles/CBMihwFBVV95cUxPU2txakNNWGJuTWw4UF8xTHpxN3BrbU90clFUMHdfb3pQeHVHMHF2RFZOOVZkYWtyWXo1ZVFnbFFTSk53UGhUSkgwR1hTNHJubUhtaEdsay1vM2t1M09TRUJ3bGhtSnFCSE5XajUyMWNrUUJDaWVqdjdQVVlWNWlra1ZpaUh4X2c?oc=5,,,
2026-06-22,AI 関連 日本株,四季報オンライン,22日午前の日経平均は初の7万2000円台､AI関連が高い - 四季報オンライン,https://news.google.com/rss/articles/CBMiV0FVX3lxTE5uUzhQal9XamZSYTYwdGVmRjhES21HUlFYNDNyaDYzcWhULTZmMldoajFVd25wVmI4aEdBSGxRQi1HdHpGZ1Rlek4zVWNRZlRCaHRpMmxVQQ?oc=5,,,
2026-06-22,AI 関連 日本株,トウシル,今週のマーケット：AI株の強気な相場は続騰か調整か。マイクロン・テクノロジー決算に注目 - トウシル,https://news.google.com/rss/articles/CBMiWkFVX3lxTFBMZjVxb0ZCbkxvWlU0dDhyQXpHWndubjgzMFZpckxJMzduRlFfODIyZmlkMkRMSk1CUm1oVS1lY2NWeFh1SHBkeWRKUEZYWTMyYmt4UlJvZW9ldw?oc=5,,,
2026-06-22,AI 関連 日本株,ダイヤモンド・オンライン,トランプ大統領が爆買い「AI関連10銘柄」と“値上がり益”判明！米政府も株買いなら上昇相場継続シナリオも - ダイヤモンド・オンライン,https://news.google.com/rss/articles/CBMiTEFVX3lxTE1PRGlIWTJFT0lzUEJHRDV5eVNPTE51RkhQbkxmSjVXMXVQenNtMkw3eTJBRkFJYnJPLWpfXy1JNDJFVk9jTWp1RXhzbVU?oc=5,,,
2026-06-22,AI 関連 日本株,nomura.co.jp,日本の「勝ち筋」 100年企業・フィジカルAI・コンテンツで逆風克服へ 野村證券ストラテジストが解説 - nomura.co.jp,https://news.google.com/rss/articles/CBMiX0FVX3lxTE9Ca094cUR1SzdxdTRTLTR1OUk5SjRvT24wLXcwTEllWlNNUWR3RWhCMlFIZzdXelBqcUpNMml5a0VOREVhOU5ld2lkbFVvN2t6SXJud3h2MWd5eVdpb000?oc=5,,,
2026-06-22,AI 関連 日本株,Bloomberg.com,【日本市況】株上昇、AI関連の一角に買い－和平協議への懸念で円軟調 - Bloomberg.com,https://news.google.com/rss/articles/CBMid0FVX3lxTE5yQWRpWTVpbUdjdTduNUVoQklwa3NvcWM1OGFRRERnVFEtQTJrXzl0RXBSOHZEZjZvc2xXaVF4djl1T1IzdElQRlZscEN5cTVVTjdZSjN3R1N2dW9hcndOelYyY2tpZThab1psUEQxN0pJcWJUcTdR?oc=5,,,
2026-06-22,AI 関連 日本株,finance.biggo.jp,日経平均が初の7万2000円台、フィジカルAI関連が牽引 - finance.biggo.jp,https://news.google.com/rss/articles/CBMidEFVX3lxTFBqSERINVpUQU9ETkNfREY5dGk3ZXYwc1ltMDFLdWNIdFluYlRyczdqQjNUTzI4ZGNqbUNFYzZTNU8tbFNMRnItWlBjSndLUWFReTVQanN1dlpEU3BzWUY2bXBCZjZDZkJjRVZwZ0hicEpGbklu?oc=5,,,
2026-06-22,新高値 銘柄,Yahoo!ファイナンス,ETF売買動向＝22日前引け、ＳＭＤトピク、ＧＸクリ日株が新高値(株探ニュース) - Yahoo!ファイナンス,https://news.google.com/rss/articles/CBMihwFBVV95cUxPSmwyalJ6WVRpeGlRbmhGRWhMa3g2RVEyemlOVXNyc202QnRFc2JRbHd5aWJZR3JzUHZZUXRTWlI0ZW9nRHBCYmFKaURaNUM1eG1pUVBPQlBoamw0SFN3VjhObnVvYkVwNGtiRjFNZmVOZ0ZCcVVEWEhxZGJDU3djR2dOVUZsRDA?oc=5,,,
2026-06-22,新高値 銘柄,株探,タムロンは急騰し新高値、２９年１２月期に営業益２５０億円以上を目指す中計目標発表 - 株探,https://news.google.com/rss/articles/CBMiYEFVX3lxTFB1SlZoMzk0b0p1dFRiMGJTWlQ0YzhoN2VadklHV1JUVkNQSXE3SG5iY3hTSzVXWFg2RGlFUjdMeU5Md2JOMmd3SEpfdUxDRlNWdUZFSVhXN2daWnFEaFFFRw?oc=5,,,
2026-06-22,新高値 銘柄,Moomoo,【AIメインテーマ追跡】20銘柄が新高値、相場はさらに上昇へ！ - Moomoo,https://news.google.com/rss/articles/CBMirAFBVV95cUxOVU10Y000dzE5by1kUWU4TGp0QlJLS0pSNEtqaVJNbmV2UDZyeVFaWDBkNnRWYThMVUE5V3hPSEZWckdhaFRoVzhRdG5uYWQtR3VnU2QwWGdKb2dlN0ZIdEhuUGwxTFU4TWhFT09zYXBsdHRpUVoyU0VxcHJjRUltWE1hWjA1ZW5aNk84Zmsyd2ZvQnowdEhfY3luQlN5RWpCaUFqU1VFTHBFVUZi?oc=5,,,
2026-06-22,新高値 銘柄,Yahoo!ファイナンス,ETF売買動向＝19日前引け、ＧＸテック日、ｉシェア４百が新高値(株探ニュース) - Yahoo!ファイナンス,https://news.google.com/rss/articles/CBMihwFBVV95cUxNLUFnalc3cjEtZFVXYlZhbVJlNmZONmpmcXF5SWFfa2ljeUEtWlhsVEF5LVI3NUVtRUVZaGJYYzRLaDAxSk8ySW44Snlac0d6dmlEb0ZEMGFzd3RQdm1ZSy1DRHpHemExNjFTQ2h3T2NoVVlYdlAybG1ja21nMlVhb0VKdmR1YkU?oc=5,,,
2026-06-22,新高値 銘柄,Investing.com - FX | 株式市場 | ファイナンス | 金融ニュース,AIが見抜いていた：+25%超の上昇でなお上昇中、この半導体株は新高値を更新し続けている 執筆 - Investing.com - FX | 株式市場 | ファイナンス | 金融ニュース,https://news.google.com/rss/articles/CBMicEFVX3lxTE1KcHhoNzZvWEJFTXpraGYwSU9RUDA4dVNxMG5MZDM4RmVueGRvY05LeXU4dXJvSWFUYXV2UnF1Y243VVJSQ0w2bDR2NnkyYlpITGFhNXl4dmZZUFJjYmJyTVB2ckdkT3J0WENPb3ViREk?oc=5,,,
2026-06-22,新高値 銘柄,四季報オンライン,新高値投資塾生Rさんが四季報読破で見つけた｢お宝株｣3選 - 四季報オンライン,https://news.google.com/rss/articles/CBMiV0FVX3lxTE93TmtWYUlVQk5wSHpHTnRuWWhkbWg3TzZOc2QyUUJpYm1mMmpGODR2RlVXUUp3dEo0dGMyVjVXMzlXRXFzS3RablZVd1F4ajFUZzQ1cVkxcw?oc=5,,,
2026-06-22,新高値 銘柄,SBI証券,高値更新後の一服場面で強いと期待される中小型株9選 - SBI証券,https://news.google.com/rss/articles/CBMiggFBVV95cUxQTmg1TGNTVWNPWFlJQ0JWZEJ6VDlvTVM0Y3dhTFNDVDFRWDB2Ti1pdnpFUGxYOG1BV25FV25EWVUtS2ZKU29XY0wzV1UxbnJWcTF1bERLYi1KdTZmLWpNZFZ1N2cyYXM5bm9kREsxVnI4MUlDdDRSRHZjekxMVU9FZ2Jn?oc=5,,,
2026-06-22,新高値 銘柄,Moomoo,【AIメインテーマ追跡】5銘柄が新高値、設備材料、新クラウドとARM - Moomoo,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNS1l3R0JCWkktWG9zTFduT3F4UGE2TlZxSTc5TFpNc3ZoV1laeFBzYXZueC1YazROWl9jQVB3OEtEbFcxNVZfODBHUFdoWnNkeFZWUmx5NXhvRF9lYkFCNHdjdm5zbFVPaDNTblRSWG5lN3NWb0ktdWVCSFJQeVh6Q2NwZkQ0dmZPTFZtY0lWUVFaTjgzanN5aFREeXhwZUUxYWI3amROSEhHUk1UM3RPUW9UMEJnNGtUZVcyUjdDeEJjZw?oc=5,,,
